id,product_tmpl_id/id,attribute_id/id,value_ids/id
boxwise_wms_pampiraiki.product_template_v2_cladts_g,boxwise_wms_pampiraiki.product_template_v2_cladts,boxwise_wms_pampiraiki.product_attribute_gender,"boxwise_wms_pampiraiki.product_attribute_value_gmix,boxwise_wms_pampiraiki.product_attribute_value_gm,boxwise_wms_pampiraiki.product_attribute_value_gw,boxwise_wms_pampiraiki.product_attribute_value_gu"
boxwise_wms_pampiraiki.product_template_v2_cladts_sz,boxwise_wms_pampiraiki.product_template_v2_cladts,boxwise_wms_pampiraiki.product_attribute_size,"boxwise_wms_pampiraiki.product_attribute_value_smix,boxwise_wms_pampiraiki.product_attribute_value_sxs,boxwise_wms_pampiraiki.product_attribute_value_ss,boxwise_wms_pampiraiki.product_attribute_value_sm,boxwise_wms_pampiraiki.product_attribute_value_sl,boxwise_wms_pampiraiki.product_attribute_value_sxl,boxwise_wms_pampiraiki.product_attribute_value_sxxl"
boxwise_wms_pampiraiki.product_template_v2_cladts_ss,boxwise_wms_pampiraiki.product_template_v2_cladts,boxwise_wms_pampiraiki.product_attribute_season,"boxwise_wms_pampiraiki.product_attribute_value_season_w,boxwise_wms_pampiraiki.product_attribute_value_season_s"
boxwise_wms_pampiraiki.product_template_v2_cladsh_g,boxwise_wms_pampiraiki.product_template_v2_cladsh,boxwise_wms_pampiraiki.product_attribute_gender,"boxwise_wms_pampiraiki.product_attribute_value_gmix,boxwise_wms_pampiraiki.product_attribute_value_gm,boxwise_wms_pampiraiki.product_attribute_value_gw,boxwise_wms_pampiraiki.product_attribute_value_gu"
boxwise_wms_pampiraiki.product_template_v2_cladsh_sz,boxwise_wms_pampiraiki.product_template_v2_cladsh,boxwise_wms_pampiraiki.product_attribute_size,"boxwise_wms_pampiraiki.product_attribute_value_smix,boxwise_wms_pampiraiki.product_attribute_value_sxs,boxwise_wms_pampiraiki.product_attribute_value_ss,boxwise_wms_pampiraiki.product_attribute_value_sm,boxwise_wms_pampiraiki.product_attribute_value_sl,boxwise_wms_pampiraiki.product_attribute_value_sxl,boxwise_wms_pampiraiki.product_attribute_value_sxxl"
boxwise_wms_pampiraiki.product_template_v2_cladsh_ss,boxwise_wms_pampiraiki.product_template_v2_cladsh,boxwise_wms_pampiraiki.product_attribute_season,boxwise_wms_pampiraiki.product_attribute_value_season_s
boxwise_wms_pampiraiki.product_template_v2_cladsk_sz,boxwise_wms_pampiraiki.product_template_v2_cladsk,boxwise_wms_pampiraiki.product_attribute_size,"boxwise_wms_pampiraiki.product_attribute_value_smix,boxwise_wms_pampiraiki.product_attribute_value_sxs,boxwise_wms_pampiraiki.product_attribute_value_ss,boxwise_wms_pampiraiki.product_attribute_value_sm,boxwise_wms_pampiraiki.product_attribute_value_sl,boxwise_wms_pampiraiki.product_attribute_value_sxl,boxwise_wms_pampiraiki.product_attribute_value_sxxl"
boxwise_wms_pampiraiki.product_template_v2_cladsk_ss,boxwise_wms_pampiraiki.product_template_v2_cladsk,boxwise_wms_pampiraiki.product_attribute_season,boxwise_wms_pampiraiki.product_attribute_value_season_s
boxwise_wms_pampiraiki.product_template_v2_claddr_sz,boxwise_wms_pampiraiki.product_template_v2_claddr,boxwise_wms_pampiraiki.product_attribute_size,"boxwise_wms_pampiraiki.product_attribute_value_smix,boxwise_wms_pampiraiki.product_attribute_value_sxs,boxwise_wms_pampiraiki.product_attribute_value_ss,boxwise_wms_pampiraiki.product_attribute_value_sm,boxwise_wms_pampiraiki.product_attribute_value_sl,boxwise_wms_pampiraiki.product_attribute_value_sxl,boxwise_wms_pampiraiki.product_attribute_value_sxxl"
boxwise_wms_pampiraiki.product_template_v2_claddr_ss,boxwise_wms_pampiraiki.product_template_v2_claddr,boxwise_wms_pampiraiki.product_attribute_season,"boxwise_wms_pampiraiki.product_attribute_value_season_w,boxwise_wms_pampiraiki.product_attribute_value_season_s"
,,,
,,,
,,,
boxwise_wms_pampiraiki.product_template_v2_clchts_g,boxwise_wms_pampiraiki.product_template_v2_clchts,boxwise_wms_pampiraiki.product_attribute_gender,"boxwise_wms_pampiraiki.product_attribute_value_gmix,boxwise_wms_pampiraiki.product_attribute_value_gb,boxwise_wms_pampiraiki.product_attribute_value_gg,boxwise_wms_pampiraiki.product_attribute_value_gu"
boxwise_wms_pampiraiki.product_template_v2_clchts_sz,boxwise_wms_pampiraiki.product_template_v2_clchts,boxwise_wms_pampiraiki.product_attribute_size,"boxwise_wms_pampiraiki.product_attribute_value_smix,boxwise_wms_pampiraiki.product_attribute_value_s13y,boxwise_wms_pampiraiki.product_attribute_value_s47y,boxwise_wms_pampiraiki.product_attribute_value_s811y,boxwise_wms_pampiraiki.product_attribute_value_s1216y"
